count,timestamp,label
0,2024-06-25T07:00:00Z,2c544574
0,2024-06-25T07:00:00Z,0b81a2f6
0,2024-06-25T07:00:00Z,a81f8d5d
0,2024-06-25T07:00:00Z,efd01920
0,2024-06-25T07:00:00Z,Other
0,2024-06-25T08:00:00Z,2c544574
0,2024-06-25T08:00:00Z,0b81a2f6
0,2024-06-25T08:00:00Z,a81f8d5d
0,2024-06-25T08:00:00Z,efd01920
0,2024-06-25T08:00:00Z,Other
0,2024-06-25T09:00:00Z,2c544574
0,2024-06-25T09:00:00Z,0b81a2f6
0,2024-06-25T09:00:00Z,a81f8d5d
0,2024-06-25T09:00:00Z,efd01920
0,2024-06-25T09:00:00Z,Other
0,2024-06-25T10:00:00Z,2c544574
0,2024-06-25T10:00:00Z,0b81a2f6
0,2024-06-25T10:00:00Z,a81f8d5d
0,2024-06-25T10:00:00Z,efd01920
0,2024-06-25T10:00:00Z,Other
0,2024-06-25T11:00:00Z,2c544574
0,2024-06-25T11:00:00Z,0b81a2f6
0,2024-06-25T11:00:00Z,a81f8d5d
0,2024-06-25T11:00:00Z,efd01920
0,2024-06-25T11:00:00Z,Other
0,2024-06-25T12:00:00Z,2c544574
0,2024-06-25T12:00:00Z,0b81a2f6
0,2024-06-25T12:00:00Z,a81f8d5d
0,2024-06-25T12:00:00Z,efd01920
0,2024-06-25T12:00:00Z,Other
0,2024-06-25T13:00:00Z,2c544574
0,2024-06-25T13:00:00Z,0b81a2f6
0,2024-06-25T13:00:00Z,a81f8d5d
0,2024-06-25T13:00:00Z,efd01920
0,2024-06-25T13:00:00Z,Other
0,2024-06-25T14:00:00Z,2c544574
0,2024-06-25T14:00:00Z,0b81a2f6
0,2024-06-25T14:00:00Z,a81f8d5d
0,2024-06-25T14:00:00Z,efd01920
0,2024-06-25T14:00:00Z,Other
0,2024-06-25T15:00:00Z,2c544574
0,2024-06-25T15:00:00Z,0b81a2f6
0,2024-06-25T15:00:00Z,a81f8d5d
0,2024-06-25T15:00:00Z,efd01920
0,2024-06-25T15:00:00Z,Other
0,2024-06-25T16:00:00Z,2c544574
0,2024-06-25T16:00:00Z,0b81a2f6
0,2024-06-25T16:00:00Z,a81f8d5d
0,2024-06-25T16:00:00Z,efd01920
0,2024-06-25T16:00:00Z,Other
0,2024-06-25T17:00:00Z,2c544574
0,2024-06-25T17:00:00Z,0b81a2f6
0,2024-06-25T17:00:00Z,a81f8d5d
0,2024-06-25T17:00:00Z,efd01920
0,2024-06-25T17:00:00Z,Other
0,2024-06-25T18:00:00Z,2c544574
0,2024-06-25T18:00:00Z,0b81a2f6
0,2024-06-25T18:00:00Z,a81f8d5d
0,2024-06-25T18:00:00Z,efd01920
0,2024-06-25T18:00:00Z,Other
0,2024-06-25T19:00:00Z,2c544574
0,2024-06-25T19:00:00Z,0b81a2f6
0,2024-06-25T19:00:00Z,a81f8d5d
0,2024-06-25T19:00:00Z,efd01920
0,2024-06-25T19:00:00Z,Other
0,2024-06-25T20:00:00Z,2c544574
0,2024-06-25T20:00:00Z,0b81a2f6
0,2024-06-25T20:00:00Z,a81f8d5d
0,2024-06-25T20:00:00Z,efd01920
0,2024-06-25T20:00:00Z,Other
0,2024-06-25T21:00:00Z,2c544574
0,2024-06-25T21:00:00Z,0b81a2f6
0,2024-06-25T21:00:00Z,a81f8d5d
0,2024-06-25T21:00:00Z,efd01920
0,2024-06-25T21:00:00Z,Other
0,2024-06-25T22:00:00Z,2c544574
0,2024-06-25T22:00:00Z,0b81a2f6
0,2024-06-25T22:00:00Z,a81f8d5d
0,2024-06-25T22:00:00Z,efd01920
0,2024-06-25T22:00:00Z,Other
0,2024-06-25T23:00:00Z,2c544574
0,2024-06-25T23:00:00Z,0b81a2f6
0,2024-06-25T23:00:00Z,a81f8d5d
0,2024-06-25T23:00:00Z,efd01920
0,2024-06-25T23:00:00Z,Other
0,2024-06-26T00:00:00Z,2c544574
0,2024-06-26T00:00:00Z,0b81a2f6
0,2024-06-26T00:00:00Z,a81f8d5d
0,2024-06-26T00:00:00Z,efd01920
0,2024-06-26T00:00:00Z,Other
0,2024-06-26T01:00:00Z,2c544574
0,2024-06-26T01:00:00Z,0b81a2f6
0,2024-06-26T01:00:00Z,a81f8d5d
0,2024-06-26T01:00:00Z,efd01920
0,2024-06-26T01:00:00Z,Other
0,2024-06-26T02:00:00Z,2c544574
0,2024-06-26T02:00:00Z,0b81a2f6
0,2024-06-26T02:00:00Z,a81f8d5d
0,2024-06-26T02:00:00Z,efd01920
0,2024-06-26T02:00:00Z,Other
0,2024-06-26T03:00:00Z,2c544574
0,2024-06-26T03:00:00Z,0b81a2f6
0,2024-06-26T03:00:00Z,a81f8d5d
0,2024-06-26T03:00:00Z,efd01920
0,2024-06-26T03:00:00Z,Other
0.034166666666666665,2024-06-26T04:00:00Z,2c544574
0.0044444444444444444,2024-06-26T04:00:00Z,0b81a2f6
0.0005555555555555556,2024-06-26T04:00:00Z,Other
0,2024-06-26T04:00:00Z,a81f8d5d
0,2024-06-26T04:00:00Z,efd01920
0.001388888888888889,2024-06-26T05:00:00Z,0b81a2f6
0,2024-06-26T05:00:00Z,2c544574
0,2024-06-26T05:00:00Z,a81f8d5d
0,2024-06-26T05:00:00Z,efd01920
0,2024-06-26T05:00:00Z,Other
0.001388888888888889,2024-06-26T06:00:00Z,a81f8d5d
0,2024-06-26T06:00:00Z,2c544574
0,2024-06-26T06:00:00Z,0b81a2f6
0,2024-06-26T06:00:00Z,efd01920
0,2024-06-26T06:00:00Z,Other
0.0005555555555555556,2024-06-26T07:00:00Z,efd01920
0.0005555555555555556,2024-06-26T07:00:00Z,Other
0,2024-06-26T07:00:00Z,2c544574
0,2024-06-26T07:00:00Z,0b81a2f6
0,2024-06-26T07:00:00Z,a81f8d5d
